"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,2.59787435,1.80445966666667,0.666812233333333,152051,52563,99488,38189,13462,24727,0.726912814193493,0.740006444583739,18,19
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,3.0875206,1.92595121666667,0.997577866666667,151330,52846,98484,39011,13862,25149,0.746945105887993,0.735851540229265,18,32
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,4.47381705,2.0964657,2.20053945,152865,54183,98682,37827,14462,23365,0.752857241055273,0.765932587251024,29,83
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,5.11428716666667,2.18802478333333,2.7528197,152281,55133,97148,34126,12023,22103,0.760778277993088,0.781555222718567,30,86
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,5.94506563333333,2.27097838333333,3.49128193333333,149154,53810,95344,31107,7772,23335,0.775945092135041,0.803002200820668,39,144
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,6.49601531666667,2.37256605,3.94737778333333,142072,48120,93952,30302,7695,22607,0.792352755788103,0.796043521052853,38,152
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,6.76417101666667,2.42145496666667,4.17138046666667,133363,41953,91410,30205,7684,22521,0.807734135562587,0.786382819265152,39,156
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,10.8224499833333,2.76382286666667,7.8932489,125741,35175,90566,29687,7524,22163,0.803169129163399,0.797423545830979,39,158
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,11.9433644333333,3.14057703333333,8.63076026666667,121302,30676,90626,31565,11424,20141,0.804238882079866,0.769642083969778,49,212
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,14.0354997833333,3.21462348333333,10.6455717333333,121759,34327,87432,30596,8167,22429,0.803087160364681,0.804342047899372,52,218
