"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,6.86431337708333,5.82255070625,0.742312647916667,152051,52563,99488,38189,13462,24727,0.736437315471323,0.750989957002582,18,29
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,9.39474079375,8.11781851458333,0.9860509125,151330,52846,98484,39011,13862,25149,0.752255757657257,0.750735227946216,23,45
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,12.9057245979167,11.33386385625,1.2784230625,152865,54183,98682,37827,14462,23365,0.76326843494618,0.76634808244563,25,52
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,16.3105857541667,14.6671009083333,1.347104575,152281,55133,97148,34126,12023,22103,0.775206580363401,0.791039627823685,28,60
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,20.6787565125,18.6301192645833,1.75082004583333,149154,53810,95344,31107,7772,23335,0.794001383689594,0.815295564415056,31,67
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,26.26706701875,23.6929754729167,2.27157762916667,142072,48120,93952,30302,7695,22607,0.801565784292245,0.808513410473097,33,71
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,31.3146702520833,28.9148161270833,2.10031925833333,133363,41953,91410,30205,7684,22521,0.806872621900227,0.800942886168178,35,77
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,36.79631509375,34.1089833395833,2.39256353333333,125741,35175,90566,29687,7524,22163,0.808257318842705,0.808299691344898,36,84
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,42.1816173375,39.3603580291667,2.5242929875,121302,30676,90626,31565,11424,20141,0.812974238452979,0.791014625394557,37,87
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,48.1366049916667,44.9408901875,2.88813515208333,121759,34327,87432,30596,8167,22429,0.805926955757775,0.81212510913518,39,93
