"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,3.58928635,2.56566745,0.76952665,152051,52563,99488,38189,13462,24727,0.7517249888403,0.772929456670256,18,31
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,4.45504891666667,2.8032112,1.35120478333333,151330,52846,98484,39011,13862,25149,0.759930890451614,0.764700622638519,22,44
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,5.72744976666667,3.10303033333333,2.3170054,152865,54183,98682,37827,14462,23365,0.772177016888956,0.786656992536622,25,54
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,4.69071423333333,2.78435216666667,1.65005515,152281,55133,97148,34126,12023,22103,0.783033293952127,0.801085602683081,27,59
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,5.52345286666667,3.2045658,1.96163621666667,149154,53810,95344,31107,7772,23335,0.794363638856413,0.814104970003797,29,71
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,5.76763783333333,3.00901563333333,2.45997953333333,142072,48120,93952,30302,7695,22607,0.799909114973515,0.810478940191519,34,79
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,6.08731813333333,3.28342785,2.51630188333333,133363,41953,91410,30205,7684,22521,0.808977801235176,0.805907314316228,34,70
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,6.51268156666667,3.14091951666667,3.14660816666667,125741,35175,90566,29687,7524,22163,0.810874111904725,0.812072222712764,28,44
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,4.84829496666667,2.74866506666667,1.88822463333333,121302,30676,90626,31565,11424,20141,0.81155276579057,0.781834943028401,29,48
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,5.08887783333333,3.04929845,1.73394115,121759,34327,87432,30596,8167,22429,0.803752082549317,0.803559799052551,29,50
