"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,7.57620905416667,6.316132825,0.963805008333333,152051,52563,99488,38189,13462,24727,0.743033921506051,0.757803111477858,23,50
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,8.78026847083333,6.8040638625,1.64822219583333,151330,52846,98484,39011,13862,25149,0.762232500396124,0.758077886312654,26,66
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,10.0636620833333,7.14556101666667,2.60002699166667,152865,54183,98682,37827,14462,23365,0.771133349596666,0.76932167332244,29,76
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,10.2556781166667,7.10255703333333,2.81435542916667,152281,55133,97148,34126,12023,22103,0.780207068738656,0.786152325301011,31,82
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,10.3708755375,7.17192475833333,2.87883705833333,149154,53810,95344,31107,7772,23335,0.792632090975363,0.813692516007698,35,108
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,11.9406346958333,7.55821575833333,4.0558601,142072,48120,93952,30302,7695,22607,0.804861624874354,0.811222803617354,37,118
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,12.2004698333333,7.58267724583333,4.32487063333333,133363,41953,91410,30205,7684,22521,0.814624202284983,0.807426728084039,40,128
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,12.826164075,7.9392156,4.579464475,125741,35175,90566,29687,7524,22163,0.81694377930212,0.817794790191218,43,134
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,14.6786457416667,8.3580329,6.00025612083333,121302,30676,90626,31565,11424,20141,0.819647417770896,0.796176718012313,45,149
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,17.0401129875,8.768319675,7.9643662125,121759,34327,87432,30596,8167,22429,0.813019589359209,0.81619514765238,51,168
