"Strategy","Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
"none",0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,7.57620905416667,6.316132825,0.963805008333333,152051,52563,99488,38189,13462,24727,0.743033921506051,0.757803111477858,23,50
"none",1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,8.78026847083333,6.8040638625,1.64822219583333,151330,52846,98484,39011,13862,25149,0.762232500396124,0.758077886312654,26,66
"none",2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,10.0636620833333,7.14556101666667,2.60002699166667,152865,54183,98682,37827,14462,23365,0.771133349596666,0.76932167332244,29,76
"none",3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,10.2556781166667,7.10255703333333,2.81435542916667,152281,55133,97148,34126,12023,22103,0.780207068738656,0.786152325301011,31,82
"none",4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,10.3708755375,7.17192475833333,2.87883705833333,149154,53810,95344,31107,7772,23335,0.792632090975363,0.813692516007698,35,108
"none",5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,11.9406346958333,7.55821575833333,4.0558601,142072,48120,93952,30302,7695,22607,0.804861624874354,0.811222803617354,37,118
"none",6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,12.2004698333333,7.58267724583333,4.32487063333333,133363,41953,91410,30205,7684,22521,0.814624202284983,0.807426728084039,40,128
"none",7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,12.826164075,7.9392156,4.579464475,125741,35175,90566,29687,7524,22163,0.81694377930212,0.817794790191218,43,134
"none",8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,14.6786457416667,8.3580329,6.00025612083333,121302,30676,90626,31565,11424,20141,0.819647417770896,0.796176718012313,45,149
"none",9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,17.0401129875,8.768319675,7.9643662125,121759,34327,87432,30596,8167,22429,0.813019589359209,0.81619514765238,51,168
"popmax",0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,6.97745897916667,6.09587183333333,0.596362908333333,152051,52563,99488,38189,13462,24727,0.74481837242207,0.754395028325268,15,14
"popmax",1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,7.0661516125,6.1781166875,0.563573295833333,151330,52846,98484,39011,13862,25149,0.757282608220769,0.75577680778153,16,14
"popmax",2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,7.06137205416667,6.14229628333333,0.611940516666667,152865,54183,98682,37827,14462,23365,0.766661926366204,0.774767562004107,16,15
"popmax",3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,7.04121811666667,6.15951334583333,0.587421104166667,152281,55133,97148,34126,12023,22103,0.780362794382783,0.798039879162971,16,17
"popmax",4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,7.01700857916667,6.14382160416667,0.573743104166667,149154,53810,95344,31107,7772,23335,0.792703554002901,0.815595484402757,16,14
"popmax",5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,6.92945857083333,6.08857370833333,0.574325229166667,142072,48120,93952,30302,7695,22607,0.802451194690899,0.809358271471,16,16
"popmax",6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,7.05402399166667,6.17343165833333,0.600961858333333,133363,41953,91410,30205,7684,22521,0.808156364233611,0.798781345491157,17,16
"popmax",7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,7.2937590375,6.2752287875,0.748567945833333,125741,35175,90566,29687,7524,22163,0.809748340104067,0.808543052971816,18,16
"popmax",8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,7.15050956666667,6.16837449166667,0.719725425,121302,30676,90626,31565,11424,20141,0.811727442304299,0.786562666608151,18,17
"popmax",9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,6.89304820416667,6.009235975,0.656835233333333,121759,34327,87432,30596,8167,22429,0.803163826906321,0.803316501075407,18,15
"step",0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,6.74846649583333,5.6372751625,0.8415710125,152051,52563,99488,38189,13462,24727,0.73819546392963,0.753480371952015,20,45
"step",1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,7.41720127083333,5.79631235833333,1.30718021666667,151330,52846,98484,39011,13862,25149,0.759320021347071,0.753235815176378,23,61
"step",2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,8.35149659583333,6.04746503333333,1.9966454125,152865,54183,98682,37827,14462,23365,0.769403011114539,0.769456210173859,25,70
"step",3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,8.791845525,6.08328684583333,2.3934470875,152281,55133,97148,34126,12023,22103,0.776821836182542,0.787111151356137,28,79
"step",4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,8.9234168375,6.12956820833333,2.492252125,149154,53810,95344,31107,7772,23335,0.787087662244496,0.809986119705147,29,85
"step",5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,9.12241135833333,6.19415842083333,2.6267117,142072,48120,93952,30302,7695,22607,0.795821382248249,0.800984966503817,29,88
