"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,7.10362427083333,5.85573648333333,0.982843566666667,152051,52563,99488,38189,13462,24727,0.738640903360407,0.753914422059984,24,54
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,11.4444606166667,9.53056847916667,1.61583087083333,151330,52846,98484,39011,13862,25149,0.750344134379352,0.748785807859146,28,78
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,17.0623009958333,14.56533315,2.17064786666667,152865,54183,98682,37827,14462,23365,0.756119956890294,0.765975229830381,34,106
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,23.1417404375,20.073052125,2.75022274583333,152281,55133,97148,34126,12023,22103,0.773185392180295,0.791473619145623,34,106
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,28.94234395,25.9872769125,2.63854519583333,149154,53810,95344,31107,7772,23335,0.78424646602493,0.809773558606927,37,110
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,36.1907644416667,32.6688521166667,3.20593454583333,142072,48120,93952,30302,7695,22607,0.795502690618242,0.800490180650688,37,115
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,42.7933916166667,38.9341598916667,3.54765227916667,133363,41953,91410,30205,7684,22521,0.799258692590739,0.790643618532819,38,114
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,48.1518313458333,45.0261365375,2.8112088,125741,35175,90566,29687,7524,22163,0.799208852050567,0.79882979123215,40,112
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,55.4925648083333,52.0840764291667,3.08594560416667,121302,30676,90626,31565,11424,20141,0.801414079144143,0.768331701738215,45,127
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,61.0917777208333,57.9327855333333,2.82855032083333,121759,34327,87432,30596,8167,22429,0.795195551426217,0.794672591403526,43,115
