"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,3.62340428333333,2.57178258333333,0.8016019,152051,52563,99488,38189,13462,24727,0.734735487229535,0.750072199802019,22,59
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,4.61087775833333,2.74645376666667,1.602189575,151330,52846,98484,39011,13862,25149,0.746843899581694,0.747848270850243,28,84
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,5.433801025,2.71817258333333,2.44910545,152865,54183,98682,37827,14462,23365,0.752145748763023,0.754683091350361,32,95
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,5.37256949166667,2.6866796,2.42521189166667,152281,55133,97148,34126,12023,22103,0.769749228489137,0.785638715641045,34,96
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,5.91432646666667,2.72145953333333,2.93243651666667,149154,53810,95344,31107,7772,23335,0.779249210067032,0.800450622635844,38,99
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,5.57879288333333,2.7086425,2.61834055833333,142072,48120,93952,30302,7695,22607,0.794256026224141,0.799265699788283,38,96
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,5.58017446666667,2.78126225,2.55734635,133363,41953,91410,30205,7684,22521,0.807612043043161,0.795920119127174,39,98
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,5.585703075,2.75248304166667,2.6010929,125741,35175,90566,29687,7524,22163,0.807106672636546,0.806833466271345,39,98
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,5.88310736666667,2.80111064166667,2.84829628333333,121302,30676,90626,31565,11424,20141,0.812208791752952,0.773784267474181,40,96
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,6.33086166666667,2.80959936666667,3.287588225,121759,34327,87432,30596,8167,22429,0.803237486978981,0.808298765750578,41,96
