"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,6.74846649583333,5.6372751625,0.8415710125,152051,52563,99488,38189,13462,24727,0.73819546392963,0.753480371952015,20,45
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,7.41720127083333,5.79631235833333,1.30718021666667,151330,52846,98484,39011,13862,25149,0.759320021347071,0.753235815176378,23,61
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,8.35149659583333,6.04746503333333,1.9966454125,152865,54183,98682,37827,14462,23365,0.769403011114539,0.769456210173859,25,70
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,8.791845525,6.08328684583333,2.3934470875,152281,55133,97148,34126,12023,22103,0.776821836182542,0.787111151356137,28,79
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,8.9234168375,6.12956820833333,2.492252125,149154,53810,95344,31107,7772,23335,0.787087662244496,0.809986119705147,29,85
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,9.12241135833333,6.19415842083333,2.6267117,142072,48120,93952,30302,7695,22607,0.795821382248249,0.800984966503817,29,88
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,9.32944705416667,6.30876855416667,2.73048830416667,133363,41953,91410,30205,7684,22521,0.808311340751228,0.798735914615501,30,88
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,9.38085155833333,6.21832687916667,2.89730519166667,125741,35175,90566,29687,7524,22163,0.814589451553204,0.813652040732811,32,89
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,9.12255027916667,6.21993120833333,2.64596329166667,121302,30676,90626,31565,11424,20141,0.820349870170506,0.801328794746512,34,93
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,8.74022982083333,5.86929201666667,2.6210438875,121759,34327,87432,30596,8167,22429,0.812996226064029,0.816253122795122,36,94
