"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,7.0229150625,5.8453475375,0.9241781,152051,52563,99488,38189,13462,24727,0.737433924946492,0.751797827191968,24,42
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,11.3926317541667,9.35049977916667,1.7489135125,151330,52846,98484,39011,13862,25149,0.751492401804891,0.754795845415199,30,66
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,18.5615216083333,15.1469233125,3.08851085833333,152865,54183,98682,37827,14462,23365,0.76655165191653,0.775606238363766,38,92
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,26.250223875,22.2562670791667,3.6671086125,152281,55133,97148,34126,12023,22103,0.776336992324675,0.790483589701199,39,100
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,33.5322108,29.6935916625,3.507659625,149154,53810,95344,31107,7772,23335,0.790995279957941,0.814691609686875,42,102
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,37.6491359375,35.1162263041667,2.21973843333333,142072,48120,93952,30302,7695,22607,0.792558658520389,0.798265353388534,36,76
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,39.0167924458333,37.8337749875,0.8972584125,133363,41953,91410,30205,7684,22521,0.799113964158291,0.790932084187444,32,51
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,38.98139605,38.26144545,0.4628143625,125741,35175,90566,29687,7524,22163,0.783397685794404,0.780848576588187,20,17
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,39.7113838083333,39.050128475,0.41047525,121302,30676,90626,31565,11424,20141,0.755909630295253,0.74888646235392,16,10
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,39.9162607333333,39.2584037125,0.407352108333333,121759,34327,87432,30596,8167,22429,0.746961216664114,0.754134880969071,16,8
