"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,2.77961955,1.87235453333333,0.770968483333333,152051,52563,99488,38189,13462,24727,0.733538887587985,0.745149016564104,21,54
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,3.9022478,2.09795083333333,1.62090296666667,151330,52846,98484,39011,13862,25149,0.755094783179512,0.749676269356723,26,71
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,4.51883263333333,2.19065258333333,2.14652043333333,152865,54183,98682,37827,14462,23365,0.766431471001296,0.776831079526788,31,93
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,5.12861628333333,2.31576663333333,2.6278691,152281,55133,97148,34126,12023,22103,0.77069901099724,0.783356203494946,31,93
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,5.33449961666667,2.3299875,2.82402043333333,149154,53810,95344,31107,7772,23335,0.784258801077168,0.80408087257792,35,65
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,5.58049533333333,2.39753396666667,3.00027631666667,142072,48120,93952,30302,7695,22607,0.797831784112784,0.808135367112597,41,91
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,5.23943238333333,2.35305945,2.71867051666667,133363,41953,91410,30205,7684,22521,0.813928931254129,0.806401797561099,36,62
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,4.1556695,2.16696176666667,1.82752321666667,125741,35175,90566,29687,7524,22163,0.814609871072047,0.815856926172364,49,118
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,4.48814546666667,2.1730317,2.15507893333333,121302,30676,90626,31565,11424,20141,0.811382149375654,0.78722408977493,42,90
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,5.27987916666667,2.29796576666667,2.82022733333333,121759,34327,87432,30596,8167,22429,0.805197913831291,0.811943090129181,43,105
