"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,7.09504240833333,6.04926315833333,0.736164195833333,152051,52563,99488,38189,13462,24727,0.7444309949031,0.754246546857123,16,28
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,7.17444932916667,6.19575224166667,0.644905945833333,151330,52846,98484,39011,13862,25149,0.756422377265958,0.756919458340224,17,24
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,7.08402825,6.09282708333333,0.655930379166667,152865,54183,98682,37827,14462,23365,0.76472038577882,0.771425863933856,16,24
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,7.3952415375,6.25987993333333,0.791707333333333,152281,55133,97148,34126,12023,22103,0.77160866032488,0.789337176886709,17,27
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,7.1354686875,6.14538595416667,0.6546721,149154,53810,95344,31107,7772,23335,0.794202983715903,0.815051747737451,17,24
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,7.11526555833333,6.12496338333333,0.671388466666667,142072,48120,93952,30302,7695,22607,0.802088741575083,0.81106005868044,18,24
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,7.0837503625,6.1300511875,0.64659595,133363,41953,91410,30205,7684,22521,0.807634122849948,0.800187581878869,18,21
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,6.98104906666667,6.06925931666667,0.626927641666667,125741,35175,90566,29687,7524,22163,0.809245629291371,0.810839001968955,18,23
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,7.0455633,6.09832614166667,0.659693908333333,121302,30676,90626,31565,11424,20141,0.813769615308665,0.780144914452549,18,26
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,6.7546318125,5.87091887916667,0.641070991666667,121759,34327,87432,30596,8167,22429,0.805020281226746,0.805187467664927,18,28
