"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,4.40705208333333,3.20816876666667,0.885671854166667,152051,52563,99488,38189,13462,24727,0.737008811437257,0.75175739082668,22,44
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,5.52911972916667,3.51522144166667,1.63432924166667,151330,52846,98484,39011,13862,25149,0.7567032584184,0.756483821795063,22,53
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,7.27389858333333,3.48650323333333,3.45494981666667,152865,54183,98682,37827,14462,23365,0.763272604615524,0.768851057175511,33,108
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,8.2993385375,3.88742200416667,4.041986175,152281,55133,97148,34126,12023,22103,0.773120509233573,0.788998654191615,37,122
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,9.17715503333333,3.92559629166667,4.88784939166667,149154,53810,95344,31107,7772,23335,0.789687465690215,0.809586917694248,42,138
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,8.93959801666667,3.77591737083333,4.82509985833333,142072,48120,93952,30302,7695,22607,0.800727149527753,0.807492792272561,41,144
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,9.86858076666667,3.9175956625,5.60349907916667,133363,41953,91410,30205,7684,22521,0.808664620071857,0.800517403751871,44,151
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,10.248312125,4.10051095416667,5.80917302916667,125741,35175,90566,29687,7524,22163,0.809532945192299,0.808436479329854,45,155
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,9.76230278333333,3.9969007625,5.40973045,121302,30676,90626,31565,11424,20141,0.812527016127177,0.779430142777905,50,172
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,11.1924987958333,4.2932455375,6.53339001666667,121759,34327,87432,30596,8167,22429,0.804899457749846,0.80950900555588,53,191
