"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",1500,9.30153995,6.632625275,2.30237170416667,152051,52563,99488,38189,13462,24727,0.738895551502826,0.752406857463805,24,63
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",3000,13.954097825,7.50692590416667,5.98349359166667,151330,52846,98484,39011,13862,25149,0.757708187154618,0.760445313741384,36,116
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",4500,20.313700175,8.69705113333333,11.1323161208333,152865,54183,98682,37827,14462,23365,0.766848716345352,0.769095252556912,45,148
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",6000,25.3712957708333,9.239292025,15.6251431458333,152281,55133,97148,34126,12023,22103,0.783463455760577,0.79840988841423,64,246
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",7500,28.4276706541667,10.2975213041667,17.6017899541667,149154,53810,95344,31107,7772,23335,0.796694351406232,0.819024747625739,68,264
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",9000,31.9758618833333,11.0149206875,20.3941663666667,142072,48120,93952,30302,7695,22607,0.802564366885768,0.809481113755097,72,282
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",10500,33.3358832625,10.58479725,22.2659892291667,133363,41953,91410,30205,7684,22521,0.810132114055108,0.799550304324674,78,305
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",12000,38.5113572625,11.3407226541667,26.6994206583333,125741,35175,90566,29687,7524,22163,0.813484006001835,0.81391090494805,81,309
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",13500,39.8176682125,12.4544071541667,26.7955118833333,121302,30676,90626,31565,11424,20141,0.814061883970899,0.785951775126291,90,326
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",15000,45.7492898666667,13.1851737291667,32.0287195625,121759,34327,87432,30596,8167,22429,0.808030146675863,0.810500231870546,96,354
