"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",1500,9.83545355,7.003607425,2.36336844583333,152051,52563,99488,38189,13462,24727,0.741759543136872,0.75782860303839,28,77
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",3000,15.5495105291667,8.2309125875,6.83930637916667,151330,52846,98484,39011,13862,25149,0.760968001812061,0.759311624346366,36,106
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",4500,17.2968219375,8.29116208333333,8.48095137916667,152865,54183,98682,37827,14462,23365,0.763815722925368,0.764903415943132,39,128
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",6000,20.9885114416667,8.64044858333333,11.8447298083333,152281,55133,97148,34126,12023,22103,0.777011272889828,0.79001686015029,53,192
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",7500,27.5652573875,9.83378477916667,17.2742594625,149154,53810,95344,31107,7772,23335,0.788239585856174,0.810383873626334,60,220
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",9000,31.1210384,10.4558078375,20.1380958666667,142072,48120,93952,30302,7695,22607,0.79908696274674,0.804133889538891,66,243
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",10500,33.4435572,10.5538204583333,22.3817146291667,133363,41953,91410,30205,7684,22521,0.808967291247797,0.801450915607923,77,300
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",12000,35.7094038083333,11.3364339375,23.8296670583333,125741,35175,90566,29687,7524,22163,0.808431984348733,0.806396995810821,85,302
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",13500,37.75995725,12.2804003666667,24.9340308583333,121302,30676,90626,31565,11424,20141,0.807184232738693,0.784341899695557,99,386
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",15000,46.1173347916667,13.697456475,31.7755837,121759,34327,87432,30596,8167,22429,0.796199809107404,0.799497429661763,112,486
